title,location,price,url,source
木樨园 整租·南三环中路69号 1室1厅 南        ,南三环中路69号,4000,https://bj.lianjia.com/zufang/BJ2355699433830105088.html,lj
芍药居 整租·芍药居北里 2室1厅 东        ,芍药居北里,6000,https://bj.lianjia.com/zufang/BJ2355692712046362624.html,lj
定慧寺 整租·恩济庄82号院 1室0厅 北        ,恩济庄82号院,3500,https://bj.lianjia.com/zufang/BJ2355640394445750272.html,lj
通州北苑 整租·长城国际 1室0厅 西        ,长城国际,3600,https://bj.lianjia.com/zufang/BJ2355543602727493632.html,lj
通州北苑 整租·长城国际 2室1厅 东        ,长城国际,3600,https://bj.lianjia.com/zufang/BJ2355538184995348480.html,lj
宋家庄 整租·横三条15号 1室1厅 南        ,横三条15号,3200,https://bj.lianjia.com/zufang/BJ2356399106148007936.html,lj
田村 整租·西木小区 1室1厅 南        ,西木小区,4400,https://bj.lianjia.com/zufang/BJ2355585987326771200.html,lj
顺义其它 整租·中国铁建顺鑫汇 2房间 西        ,中国铁建顺鑫汇,2300,https://bj.lianjia.com/zufang/BJ2355669039084748800.html,lj
甜水园 整租·马道口 1室1厅 南        ,马道口,4500,https://bj.lianjia.com/zufang/BJ2356379670951772160.html,lj
学院路 整租·城华园 1室0厅 南        ,城华园,5500,https://bj.lianjia.com/zufang/BJ2355753741493477376.html,lj
顺义其它 整租·澜西园四区 1室1厅 西        ,澜西园四区,3000,https://bj.lianjia.com/zufang/BJ2355493954851979264.html,lj
定福庄 整租·金星小区 2室1厅 南/北        ,金星小区,4500,https://bj.lianjia.com/zufang/BJ2356245749459075072.html,lj
石景山其它 整租·高井 1室1厅 南        ,高井,2500,https://bj.lianjia.com/zufang/BJ2356233470483120128.html,lj
马连道 整租·三义东里 1室1厅 南        ,三义东里,5000,https://bj.lianjia.com/zufang/BJ2355769490341904384.html,lj
豆各庄 整租·青荷里南山园 1室1厅 南        ,青荷里南山园,3500,https://bj.lianjia.com/zufang/BJ2355521870075805696.html,lj
西坝河 整租·西坝河东里 2室1厅 南/北        ,西坝河东里,6100,https://bj.lianjia.com/zufang/BJ2355603855279915008.html,lj
北大地 整租·北大地三里 2室1厅 西北        ,北大地三里,4000,https://bj.lianjia.com/zufang/BJ2355562388344020992.html,lj
潞苑 整租·华龙小区 2室1厅 南/北        ,华龙小区,3200,https://bj.lianjia.com/zufang/BJ2355500571542429696.html,lj
和平里 整租·和平街十五区1号院 1室1厅 南/北        ,和平街十五区1号院,5800,https://bj.lianjia.com/zufang/BJ2357065261523410944.html,lj
酒仙桥 整租·高家园一区 1室1厅 南        ,高家园一区,5200,https://bj.lianjia.com/zufang/BJ2355593572642209792.html,lj
丽泽 整租·前泥洼小区 1室1厅 南        ,前泥洼小区,4500,https://bj.lianjia.com/zufang/BJ2355780721253564416.html,lj
豆各庄 整租·朝丰家园 1室1厅 南        ,朝丰家园,3800,https://bj.lianjia.com/zufang/BJ2355684609012015104.html,lj
常营 整租·金隅丽景园 1室1厅 西        ,金隅丽景园,4700,https://bj.lianjia.com/zufang/BJ2356440326325149696.html,lj
甘露园 整租·天天朝阳 1室0厅 东        ,天天朝阳,4800,https://bj.lianjia.com/zufang/BJ2357080484045406208.html,lj
田村 整租·田村路19号院 2室1厅 南/北        ,田村路19号院,4800,https://bj.lianjia.com/zufang/BJ2356239970219327488.html,lj
梨园 整租·云景西里南区 1室1厅 南        ,云景西里南区,3400,https://bj.lianjia.com/zufang/BJ2355831757938360320.html,lj
豆各庄 整租·富力又一城C区 2室1厅 南        ,富力又一城C区,6000,https://bj.lianjia.com/zufang/BJ2356509054786084864.html,lj
北京南站 整租·翠林一里 1室1厅 南        ,翠林一里,4500,https://bj.lianjia.com/zufang/BJ2356459376333824000.html,lj
白石桥 整租·大慧寺21号院 1室1厅 南        ,大慧寺21号院,6200,https://bj.lianjia.com/zufang/BJ2357241507049906176.html,lj
万达 整租·新华东街 1室0厅 南        ,新华东街,2500,https://bj.lianjia.com/zufang/BJ2355632867398393856.html,lj
安宁庄 整租·安宁佳园 2室1厅 东南/南        ,安宁佳园,5500,https://bj.lianjia.com/zufang/BJ2355756877247692800.html,lj
和义 整租·南苑北里三区 1室1厅 南/北        ,南苑北里三区,3750,https://bj.lianjia.com/zufang/BJ2356518927699550208.html,lj
亚运村 整租·安园 1室1厅 南/北        ,安园,5300,https://bj.lianjia.com/zufang/BJ2355712174355660800.html,lj
东坝 整租·东泽园 2室1厅 南/北        ,东泽园,5200,https://bj.lianjia.com/zufang/BJ2356404898817376256.html,lj
