title,location,price,url,source,lng,lat
木樨园 整租·南三环中路69号 1室1厅 南        ,南三环中路69号,4000,https://bj.lianjia.com/zufang/BJ2355699433830105088.html,lj,116.405059,39.897052
芍药居 整租·芍药居北里 2室1厅 东        ,芍药居北里,6000,https://bj.lianjia.com/zufang/BJ2355692712046362624.html,lj,116.442543,39.991949
定慧寺 整租·恩济庄82号院 1室0厅 北        ,恩济庄82号院,3500,https://bj.lianjia.com/zufang/BJ2355640394445750272.html,lj,116.289855,39.933693
通州北苑 整租·长城国际 1室0厅 西        ,长城国际,3600,https://bj.lianjia.com/zufang/BJ2355543602727493632.html,lj,116.63929399999999,39.900732
通州北苑 整租·长城国际 2室1厅 东        ,长城国际,3600,https://bj.lianjia.com/zufang/BJ2355538184995348480.html,lj,116.63929399999999,39.900732
宋家庄 整租·横三条15号 1室1厅 南        ,横三条15号,3200,https://bj.lianjia.com/zufang/BJ2356399106148007936.html,lj,116.43253899999999,39.85599000000001
田村 整租·西木小区 1室1厅 南        ,西木小区,4400,https://bj.lianjia.com/zufang/BJ2355585987326771200.html,lj,116.278575,39.939184000000004
顺义其它 整租·中国铁建顺鑫汇 2房间 西        ,中国铁建顺鑫汇,2300,https://bj.lianjia.com/zufang/BJ2355669039084748800.html,lj,116.669577,40.093741
甜水园 整租·马道口 1室1厅 南        ,马道口,4500,https://bj.lianjia.com/zufang/BJ2356379670951772160.html,lj,116.482118,39.933157
学院路 整租·城华园 1室0厅 南        ,城华园,5500,https://bj.lianjia.com/zufang/BJ2355753741493477376.html,lj,116.357249,40.01745
顺义其它 整租·澜西园四区 1室1厅 西        ,澜西园四区,3000,https://bj.lianjia.com/zufang/BJ2355493954851979264.html,lj,116.63856399999999,40.119584
定福庄 整租·金星小区 2室1厅 南/北        ,金星小区,4500,https://bj.lianjia.com/zufang/BJ2356245749459075072.html,lj,116.56121599999999,39.92434
石景山其它 整租·高井 1室1厅 南        ,高井,2500,https://bj.lianjia.com/zufang/BJ2356233470483120128.html,lj,116.141508,39.951177
马连道 整租·三义东里 1室1厅 南        ,三义东里,5000,https://bj.lianjia.com/zufang/BJ2355769490341904384.html,lj,116.339698,39.894535999999995
豆各庄 整租·青荷里南山园 1室1厅 南        ,青荷里南山园,3500,https://bj.lianjia.com/zufang/BJ2355521870075805696.html,lj,116.570158,39.867275
西坝河 整租·西坝河东里 2室1厅 南/北        ,西坝河东里,6100,https://bj.lianjia.com/zufang/BJ2355603855279915008.html,lj,116.452569,39.97226
